S.No,Job Title,Company Name,Company URL,Salary,Location,Experience,Description,Tags
433,Connectivity & Network Engineer - A,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,Not disclosed,Chennai,3-6 Yrs,Entry level graduate with limited commercial and technical work experience,"application software, network engineering, networking, wireless, protocols, switching, tcp, eigrp"
434,Java Developer,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,Not disclosed,Chennai,4-6 Yrs,"Experience in Java, Spring boot microservices, deployed as containers in Kubernetes eco...","Java, RabbitMQ, Kafka, OpenStack, Spring boot, Google Compute Engine, AWS, microservices"
435,Angular Developer,Applied Materials,https://www.naukri.com/applied-materials-jobs-careers-41172,Not disclosed,Chennai,5-8 Yrs,Implement Continuous Integration (CI) pipelines and update them as requiredProficiency ...,"Angular, frontend development, CSS, Confluence, Agile methodologies, JavaScript, HTML, RESTful APIs"
436,Domain Leader- Validation Test Execution,Alstom Transportation,https://www.naukri.com/alstom-transportation-jobs-careers-6912,Not disclosed,Chennai,7-11 Yrs,"But also, you will be producing the test book and daily shift reports. . Well look to y...","Validation Test Execution, functional testing, software testing, selenium, regression testing, test cases, Functional, Leadership"
437,Datacom Architect,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,Not disclosed,Chennai,5-10 Yrs,Should have design knowledge for L3 / datacom features . Good understanding of datacom ...,"C programming, AWS DevOps, XML, ASP.NET, JSON, Azure Compute, API integration, .NET Framework 6"
438,APPLICATION DEVELOPER,Atos,https://www.naukri.com/atos-jobs-careers-111,Not disclosed,Chennai,1-5 Yrs,Job Description: -   We are looking for a skilled and motivated AI Quality Ass...,"Automation, Manager Quality Assurance, Machine learning, API Testing, Regression testing, Deployment, data privacy, data integrity"
439,APPLICATION DEVELOPER,Atos,https://www.naukri.com/atos-jobs-careers-111,Not disclosed,Chennai,3-5 Yrs,"Experience:-  3+years          Skills:-  Python, SQL and Tableau.           Ab...","Automation, tableau, GIT, query optimization, GCP, Agile, data visualization, big data"
440,Senior Manager - Intelligent Automation,AstraZeneca India Pvt. Ltd,https://www.naukri.com/astrazeneca-jobs-careers-1829,Not disclosed,Chennai,3-5 Yrs,BPM / workflow tools . At least 3 years of experience in management and / or delivery o...,"Solution architecture, Automation, Manager Quality Assurance, Team management, Business Analyst, Workflow, Agile methodology, Management"
441,APPLICATION DEVELOPER,Atos,https://www.naukri.com/atos-jobs-careers-111,Not disclosed,Chennai,5-10 Yrs,Job scheduling experience using TAC Minimum 5-10 years of total experience in IT buildi...,"Unix, Microstrategy, Linux, HP data protector, Appliances, Shell scripting, IT projects, OLAP"
442,Flashfile Integration and Validation Engineer,Caterpillar Inc,https://www.naukri.com/caterpillar-jobs-careers-1534,Not disclosed,Chennai,7-10 Yrs,Role Definition   We are seeking a skilled Tech Lead to work as Lead Flashfile Integr...,"Computer science, Product quality, Automation, Team management, Diagnostics, Data management, Analytical, Cost reduction"
443,Senior Engineer - IOT / Enterprise Platform,AstraZeneca India Pvt. Ltd,https://www.naukri.com/astrazeneca-jobs-careers-1829,Not disclosed,Chennai,9-12 Yrs,"A commitment to collaborative problem solving, sophisticated design, and delivering qua...","TPM, Unix, Automation, GIT, Linux, Information security, Consulting, Troubleshooting"
444,Senior Consultant - Devops,AstraZeneca India Pvt. Ltd,https://www.naukri.com/astrazeneca-jobs-careers-1829,Not disclosed,Chennai,10-11 Yrs,"Eager to learn and develop new tech skills, as requiredExperience with process tools li...","GIT, Compliance, devops, Software development life cycle, Issue resolution, Business intelligence, JIRA, Monitoring"
445,"Senior Specialist, FCSO TM HK",Standard Chartered Life And Careers,https://www.naukri.com/standard-chartered-life-and-careers-jobs-careers-124651392,Not disclosed,Chennai,4-7 Yrs,"Time-off including annual leave, parental / maternity (20 weeks), sabbatical (12 months...","Finance, Banking, Commerce, Advocate, Recruitment, Senior, TM, Advocacy"
446,QA & Test Lead,WPP,https://www.naukri.com/wpp-jobs-careers-2064734,Not disclosed,Chennai,5-8 Yrs,User Experience Testing: Evaluate the user experience to ensure the application is intu...,"Backend, Test scripts, HP data protector, Testing tools, Integration testing, Performance testing, Security testing, Regression testing"
447,Foundation Data Manager,WPP,https://www.naukri.com/wpp-jobs-careers-2064734,Not disclosed,Chennai,4-8 Yrs,. Stay up to date with industry trends and best practices in ServiceNow Foundation Data...,"Automation, Data management, Configuration management, Analytical, Advocate, Data structures, Data quality, Reporting tools"
448,Lead Architect Analytics,Danfoss,https://www.naukri.com/danfoss-jobs-careers-83280,Not disclosed,Chennai,3-5 Yrs,". Strong experience designing and implementing analytics solutions using Databricks, SA...","SAP, Google Analytics, Renewable energy, Architecture, Web analytics, Coding, Social networking, Refrigeration"
449,Senior Engineer II,AMERICAN EXPRESS,https://www.naukri.com/american-express-jobs-careers-2256,Not disclosed,Chennai,8-12 Yrs,"Own all technical aspects of software development architecture, for the ass...","Maven, Product engineering, Front end, Db2, Coding, Postgresql, Data structures, JPA"
450,IN_Manager_D365 CRM Technical_MS Dynamics_Mumbai,PwC Service Delivery Center,https://www.naukri.com/pwc-service-delivery-center-jobs-careers-4394,Not disclosed,Chennai,7-10 Yrs,"Preferred skill sets . Node.js, Angular.js, . React.jsJQuery . ., CSS, HTML 5, AJAX Exp...","SIDE, CSS, html5, Consulting, Javascript, HTML, Microsoft Dynamics, Operations"
451,Quality Assurance Engineer,Pearson,https://www.naukri.com/pearson-jobs-careers-104678,Not disclosed,Chennai,7-9 Yrs,About The Role: We are seeking a highly skilled and experienced API Sr    Automation...,"Interpersonal skills, Manager Quality Assurance, Test scripts, Analytical, Javascript, Programming, Scrum, JIRA"
452,Support Specialist- Mainframe,Standard Chartered Life And Careers,https://www.naukri.com/standard-chartered-life-and-careers-jobs-careers-124651392,Not disclosed,Chennai,2-6 Yrs,. At least Bachelor of Science in Computer Science / Information Technology related fie...,"Computer science, Production support, Analytical, Cobol, Incident management, Support services, Business strategy, Risk management"
453,"Chapter Lead, Product specialist",Standard Chartered Life And Careers,https://www.naukri.com/standard-chartered-life-and-careers-jobs-careers-124651392,Not disclosed,Chennai,4-8 Yrs,Ensure adherence to Bank s standards and acceptance at architectural review meeting. De...,"Architecture, Coding, Design review, Finance, Banking, Workflow, Pega, application architecture"
454,Software Engineer,Ford,https://www.naukri.com/ford-jobs-careers-19589,Not disclosed,Chennai,1-10 Yrs,Take full ownership and accountability for the delivery of high-quality software soluti...,"Product management, Computer science, Architecture, Db2, Coding, spring batch, Market research, test driven development"
455,Software Engineer,Ford,https://www.naukri.com/ford-jobs-careers-19589,Not disclosed,Chennai,1-10 Yrs,"Bachelor s degree in computer science, Information Systems, Engineering, or a related f...","Computer science, ERP, Architecture, Integration testing, Customer service, User acceptance testing, Automotive, CRM"
456,Software Engineer,Ford,https://www.naukri.com/ford-jobs-careers-19589,Not disclosed,Chennai,1-10 Yrs,". Bachelors degree in Computer Science, Software Engineering, or a related field. Sales...","Computer science, GIT, Business Analyst, development testing, Technical Expert, Agile, Software development life cycle, Design development"
457,Embedded Engineer,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,Not disclosed,Hybrid - Chennai,4-7 Yrs,Must Have: . Embedded C / C++: Extensive experience with Embedded C and C++ programming...,"Docsis, C, Linux, RDK, embedded, C++, Embedded systems"
458,Solutions Architect,NTT DATA,https://www.naukri.com/ntt-data-jobs-careers-5731,35 Lacs-1 Cr PA,Chennai,5-7 Yrs,Academic Qualifications and Certifications: . Bachelors degree or equivalent in compute...,"needs assessment, development, software development, program management, togaf, verbal communication, enterprise architecture, interpersonal skills"
459,Desktop Support Engineer  L1 || Immediate Joiner,Teleperformance (TP),https://www.naukri.com/teleperformance-tp-jobs-careers-1141,1-4 Lacs PA,"Mohali, Gurugram, Chennai",1-3 Yrs,Shifts : Rotational,"L1 Support, Desktop Support, Technical Support, IT Support, Desktop engineering, Desktop, Technical, L1"
